House,Date,start.date,end.date,Proportion.Rousseff,Proportion.Campos,Proportion.Silva,Proportion.None,Proportion.DK,unemployment,cpi
Dalafolha,10/4/2014,10/3/2014,10/4/2014,49,,39,9,3,4.7,0.43
CNT/MDA,10/3/2014,10/2/2014,10/3/2014,47.6,,37.9,11.1,3.4,4.7,0.43
IBOPE,10/3/2014,10/2/2014,10/4/2014,45,,37,12,7,4.7,0.43
Dalafolha,10/2/2014,10/1/2014,10/2/2014,48,,41,8,3,4.7,0.43
Dalafolha,9/30/2014,9/29/2014,9/30/2014,49,,41,7,3,4.9,0.49
IBOPE,9/30/2014,9/29/2014,10/1/2014,43,,36,12,8,4.9,0.49
CNT/MDA,9/28/2014,9/27/2014,9/28/2014,47.7,,38.7,10.9,2.7,4.9,0.49
IBOPE,9/28/2014,9/27/2014,9/29/2014,42,,38,12,8,4.9,0.49
VoxPopuli,9/28/2014,9/27/2014,9/28/2014,46,,39,9,6,4.9,0.49
Dalafolha,9/26/2014,9/25/2014,9/26/2014,47,,43,7,4,4.9,0.49
CNT/MDA,9/21/2014,9/20/2014,9/21/2014,42,,41,11.8,5.2,4.9,0.49
IBOPE,9/21/2014,9/20/2014,9/22/2014,41,,41,12,6,4.9,0.49
VoxPopuli,9/21/2014,9/20/2014,9/21/2014,46,,39,9,6,4.9,0.49
Dalafolha,9/18/2014,9/17/2014,9/18/2014,44,,46,7,3,4.9,0.49
IBOPE,9/14/2014,9/13/2014,9/15/2014,40,,43,11,6,4.9,0.49
VoxPopuli,9/14/2014,9/13/2014,9/14/2014,41,,42,11,6,4.9,0.49
Dalafolha,9/9/2014,9/8/2014,9/9/2014,43,,47,7,3,4.9,0.49
IBOPE,9/7/2014,9/5/2014,9/8/2014,42,,43,10,5,4.9,0.49
CNT/MDA,9/6/2014,9/5/2014,9/7/2014,42.7,,45.5,8.4,3.4,4.9,0.49
Dalafolha,9/2/2014,9/1/2014,9/3/2014,41,,48,6,5,4.9,0.49
IBOPE,9/1/2014,8/31/2014,9/2/2014,39,,46,8,6,4.9,0.49
Dalafolha,8/29/2014,8/28/2014,8/29/2014,40,,50,7,3,5,0.12
IBOPE,8/24/2014,8/23/2014,8/25/2014,36,,45,9,11,5,0.12
CNT/MDA,8/23/2014,8/21/2014,8/24/2014,37.8,,43.7,12.4,6.1,5,0.12
Dalafolha,8/15/2014,8/14/2014,8/15/2014,43,,47,6,4,5,0.12
CNT/MDA,8/10/2014,8/8/2014,8/12/2014,43.5,28.2,,21.4,6.9,5,0.12
IBOPE,8/5/2014,8/3/2014,8/6/2014,44,32,,16,8,5,0.12
IBOPE,7/20/2014,7/18/2014,7/21/2014,41,29,,20,10,4.9,0.1
IBOPE,6/14/2014,6/13/2014,6/15/2014,43,27,,21,9,4.8,0.33
IBOPE,6/6/2014,6/4/2014,6/7/2014,41,30,,21,8,4.8,0.33
IBOPE,5/17/2014,5/15/2014,5/19/2014,42,22,,25,12,4.9,0.52
CNT/MDA,4/23/2014,4/20/2014,4/25/2014,41.3,24,,24.4,10.3,4.9,0.77
IBOPE,4/13/2014,4/10/2014,4/14/2014,44,17,,28,12,4.9,0.77
IBOPE,4/12/2014,4/10/2014,4/14/2014,41,,25,24,10,4.9,0.77
IBOPE,3/15/2014,3/13/2014,3/17/2014,45,,21,24,10,5,0.85
IBOPE,3/15/2014,3/13/2014,3/17/2014,47,16,,26,11,5,0.85
CNT/MDA,2/12/2014,2/9/2014,2/14/2014,44.6,,26.6,19.9,8.9,5.1,0.66
CNT/MDA,2/12/2014,2/9/2014,2/14/2014,48.6,18,,23.9,9.5,5.1,0.66
CNT/MDA,11/2/2013,10/31/2013,11/4/2013,45.3,,29.1,19.3,6.3,4.6,0.55
CNT/MDA,11/2/2013,10/31/2013,11/4/2013,49.2,17.5,,24.8,8.4,4.6,0.55
